dataset, model, attack, eps, defense, date, acc
celeba, A, bpda_bim, 0.3, defense_gan, 2022-01-07 22:07, 0.19481108312342568
celeba, D, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.5087153652392947
celeba, C, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.7645340050377833
celeba, D, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.5745088161209068
celeba, D, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.47329974811083125
celeba, C, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.6807556675062972
celeba, D, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.5234760705289673
celeba, C, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.5483627204030227
celeba, D, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.5351133501259446
celeba, C, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.31571788413098234
celeba, E, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.5914861460957179
celeba, F, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.7215617128463476
celeba, D, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.5994458438287154
celeba, A, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.7432241813602015
celeba, B, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.5735012594458438
celeba, E, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.28201511335012597
celeba, C, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.7510831234256927
celeba, F, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.5996977329974811
celeba, D, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.6297732997481108
celeba, A, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.6231738035264484
celeba, B, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.565793450881612
celeba, E, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.07163727959697733
celeba, C, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.7482619647355164
celeba, D, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.6255919395465995
celeba, F, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.29279596977329975
celeba, A, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.3834256926952141
celeba, B, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.5263979848866499
celeba, E, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.05163727959697733
celeba, D, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.5834256926952142
celeba, F, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.16876574307304787
celeba, C, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.7565239294710328
celeba, A, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.2293198992443325
celeba, B, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.2603022670025189
celeba, E, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.6163727959697733
celeba, D, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.5835768261964736
celeba, F, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.6951133501259446
celeba, C, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.7626196473551637
celeba, A, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.7261964735516373
celeba, B, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.42770780856423174
celeba, E, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.46997481108312344
celeba, D, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.583375314861461
celeba, F, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.6458438287153653
celeba, C, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.37350125944584384
celeba, B, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.5200503778337532
celeba, A, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.6767758186397985
celeba, E, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.39939546599496223
celeba, D, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.5834760705289672
celeba, F, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.6470025188916877
celeba, B, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.48493702770780855
celeba, C, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.3329471032745592
celeba, D, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.47642317380352645
celeba, E, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.3754659949622166
celeba, A, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.6183879093198993
celeba, F, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.6437783375314862
celeba, D, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.47879093198992445
celeba, E, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.0434256926952141
celeba, B, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.4768261964735516
celeba, C, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.2657934508816121
celeba, A, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.6455415617128464
celeba, F, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.062015113350125946
celeba, D, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.4751133501259446
celeba, E, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.0434256926952141
celeba, B, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.5147607052896725
celeba, C, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.19546599496221662
celeba, A, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.08
celeba, F, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.08488664987405542
celeba, D, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.4792443324937028
celeba, E, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.0434256926952141
celeba, B, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.48670025188916877
celeba, C, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.09602015113350126
celeba, A, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.07828715365239294
celeba, F, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.0836272040302267
celeba, E, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.0434256926952141
celeba, B, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.46
celeba, C, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.11083123425692695
celeba, A, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.044836272040302265
celeba, F, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.08211586901763224
celeba, E, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.04478589420654912
celeba, B, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.42403022670025187
celeba, C, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.13546599496221662
celeba, A, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.09319899244332494
celeba, F, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.11445843828715366
celeba, E, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.044937027707808566
celeba, B, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.5223173803526449
celeba, C, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.18347607052896725
celeba, F, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.1069521410579345
celeba, A, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.07244332493702771
celeba, E, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.0452896725440806
celeba, B, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.3507808564231738
celeba, F, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.1072544080604534
celeba, E, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.04458438287153652
celeba, A, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.06136020151133501
celeba, B, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.4263979848866499
celeba, F, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.08226700251889169
celeba, A, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.060453400503778336
celeba, B, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.4547103274559194
celeba, A, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.05778337531486146
celeba, D, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.5293702770780856
celeba, C, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.7479093198992444
celeba, D, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.6702770780856423
