dataset, model, attack, eps, defense, date, acc
fmnist, B, bpda_bim, 0.3, defense_gan, 2021-11-17 00:09, 0.5631155778894472
fmnist, C, fgsm, 0.05, defense_gan, 2021-11-07 22:08, 0.782713567839196
fmnist, C, pgd, 0.05, defense_gan, 2021-11-07 22:08, 0.7879396984924623
fmnist, C, mim, 0.05, defense_gan, 2021-11-07 22:08, 0.16090452261306532
fmnist, A, fgsm, 0.05, defense_gan, 2021-11-07 22:07, 0.7776884422110553
fmnist, C, cw, 0.05, defense_gan, 2021-11-07 22:08, 0.2598994974874372
fmnist, F, fgsm, 0.05, defense_gan, 2021-11-07 22:09, 0.7768844221105528
fmnist, D, fgsm, 0.05, defense_gan, 2021-11-07 22:08, 0.7696482412060301
fmnist, E, fgsm, 0.05, defense_gan, 2021-11-07 22:09, 0.7682412060301508
fmnist, A, pgd, 0.05, defense_gan, 2021-11-07 22:07, 0.7855276381909547
fmnist, A, fgsm, 0.05, defense_gan, 2021-11-07 22:08, 0.7773869346733668
fmnist, B, fgsm, 0.05, defense_gan, 2021-11-07 22:08, 0.6766834170854271
fmnist, D, pgd, 0.05, defense_gan, 2021-11-07 22:08, 0.774572864321608
fmnist, F, pgd, 0.05, defense_gan, 2021-11-07 22:09, 0.7847236180904522
fmnist, E, pgd, 0.05, defense_gan, 2021-11-07 22:09, 0.7742713567839196
fmnist, A, mim, 0.05, defense_gan, 2021-11-07 22:07, 0.08874371859296483
fmnist, A, pgd, 0.05, defense_gan, 2021-11-07 22:08, 0.7794974874371859
fmnist, B, pgd, 0.05, defense_gan, 2021-11-07 22:08, 0.6742713567839196
fmnist, F, mim, 0.05, defense_gan, 2021-11-07 22:09, 0.13386934673366835
fmnist, D, mim, 0.05, defense_gan, 2021-11-07 22:08, 0.06261306532663316
fmnist, E, mim, 0.05, defense_gan, 2021-11-07 22:09, 0.06954773869346734
fmnist, A, cw, 0.05, defense_gan, 2021-11-07 22:07, 0.20321608040201006
fmnist, A, mim, 0.05, defense_gan, 2021-11-07 22:08, 0.11758793969849246
fmnist, B, mim, 0.05, defense_gan, 2021-11-07 22:08, 0.10683417085427135
fmnist, D, cw, 0.05, defense_gan, 2021-11-07 22:08, 0.09628140703517588
fmnist, F, cw, 0.05, defense_gan, 2021-11-07 22:09, 0.21849246231155778
fmnist, E, cw, 0.05, defense_gan, 2021-11-07 22:09, 0.11758793969849246
fmnist, A, cw, 0.05, defense_gan, 2021-11-07 22:08, 0.2078391959798995
fmnist, B, cw, 0.05, defense_gan, 2021-11-07 22:08, 0.25236180904522615
fmnist, D, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.771859296482412
fmnist, D, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.6983919597989949
fmnist, D, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.4822110552763819
fmnist, C, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.7830150753768844
fmnist, D, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.2370854271356784
fmnist, C, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.7381909547738693
fmnist, D, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.7771859296482412
fmnist, C, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.61678391959799
fmnist, D, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.7466331658291457
fmnist, C, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.43959798994974875
fmnist, D, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.7321608040201005
fmnist, C, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.7823115577889447
