dataset, model, attack, eps, defense, date, acc
mnist, A, bpda_bim, 0.3, defense_gan, 2021-11-17 00:09, 0.9659296482412061
mnist, D, bpda_fgsm, 0.05, defense_gan, 2021-11-01 19:28, 0.9745728643216081
mnist, E, bpda_fgsm, 0.05, defense_gan, 2021-11-01 19:28, 0.977286432160804
mnist, F, bpda_fgsm, 0.05, defense_gan, 2021-11-01 19:28, 0.9795979899497488
mnist, C, bpda_fgsm, 0.05, defense_gan, 2021-11-01 19:28, 0.9812060301507538
mnist, A, bpda_fgsm, 0.05, defense_gan, 2021-11-01 19:28, 0.9821105527638191
mnist, B, bpda_fgsm, 0.05, defense_gan, 2021-11-01 19:28, 0.9585929648241206
mnist, E, bpda_fgsm, 0.1, defense_gan, 2021-11-01 19:28, 0.9767839195979899
mnist, D, bpda_fgsm, 0.1, defense_gan, 2021-11-01 19:28, 0.9751758793969849
mnist, F, bpda_fgsm, 0.1, defense_gan, 2021-11-01 19:28, 0.9821105527638191
mnist, C, bpda_fgsm, 0.1, defense_gan, 2021-11-01 19:28, 0.9822110552763819
mnist, B, bpda_fgsm, 0.1, defense_gan, 2021-11-01 19:28, 0.9594974874371859
mnist, A, bpda_fgsm, 0.1, defense_gan, 2021-11-01 19:28, 0.9831155778894473
mnist, E, bpda_fgsm, 0.2, defense_gan, 2021-11-01 19:28, 0.9761809045226131
mnist, D, bpda_fgsm, 0.2, defense_gan, 2021-11-01 19:28, 0.9754773869346733
mnist, F, bpda_fgsm, 0.2, defense_gan, 2021-11-01 19:28, 0.9820100502512563
mnist, C, bpda_fgsm, 0.2, defense_gan, 2021-11-01 19:28, 0.9829145728643216
mnist, A, bpda_fgsm, 0.2, defense_gan, 2021-11-01 19:28, 0.9829145728643216
mnist, B, bpda_fgsm, 0.2, defense_gan, 2021-11-01 19:28, 0.9573869346733669
mnist, E, bpda_fgsm, 0.3, defense_gan, 2021-11-01 19:28, 0.9753768844221106
mnist, D, bpda_fgsm, 0.3, defense_gan, 2021-11-01 19:28, 0.972964824120603
mnist, F, bpda_fgsm, 0.3, defense_gan, 2021-11-01 19:28, 0.9809045226130654
mnist, C, bpda_fgsm, 0.3, defense_gan, 2021-11-01 19:28, 0.9830150753768844
mnist, A, bpda_fgsm, 0.3, defense_gan, 2021-11-01 19:28, 0.9824120603015075
